,Actual Activity,,,Adstock,,,Total  Activity,,,,,,,,,,,
136,48.30,47.00,8.50,430.53,33.18,142.69,478.83,80.18,151.19,,,,,,,,,
137,25.60,39.00,9.30,383.06,40.09,120.95,408.66,79.09,130.25,,,,,,,,,
138,273.70,28.90,59.70,326.93,39.54,104.20,600.63,68.44,163.90,,,,,,,,,
139,43.00,25.90,20.50,480.50,34.22,131.12,523.50,60.12,151.62,,,,,,,,,
140,184.90,43.90,1.70,418.80,30.06,121.30,603.70,73.96,123.00,,,,,,,,,
141,73.40,17.00,12.90,482.96,36.98,98.40,556.36,53.98,111.30,,,,,,,,,
142,193.70,35.40,75.60,445.09,26.99,89.04,638.79,62.39,164.64,,,,,,,,,
143,220.50,33.20,37.90,511.03,31.20,131.71,731.53,64.40,169.61,,,,,,,,,
144,104.60,5.70,34.40,585.23,32.20,135.69,689.83,37.90,170.09,,,,,,,,,
145,96.20,14.80,38.90,551.86,18.95,136.07,648.06,33.75,174.97,,,,,,,,,
146,140.30,1.90,9.00,518.45,16.87,139.98,658.75,18.77,148.98,,,,,,,,,
147,240.10,7.30,8.70,527.00,9.39,119.18,767.10,16.69,127.88,,,,,,,,,
148,243.20,49.00,44.30,613.68,8.34,102.31,856.88,57.34,146.61,,,,,,,,,
149,38.00,40.30,11.90,685.50,28.67,117.28,723.50,68.97,129.18,,,,,,,,,
150,44.70,25.80,20.60,578.80,34.49,103.35,623.50,60.29,123.95,,,,,,,,,
151,280.70,13.90,37.00,498.80,30.14,99.16,779.50,44.04,136.16,,,,,,,,,
152,121.00,8.40,48.70,623.60,22.02,108.93,744.60,30.42,157.63,,,,,,,,,
153,197.60,23.30,14.20,595.68,15.21,126.10,793.28,38.51,140.30,,,,,,,,,
154,171.30,39.70,37.70,634.62,19.26,112.24,805.92,58.96,149.94,,,,,,,,,
155,187.80,21.10,9.50,644.74,29.48,119.95,832.54,50.58,129.45,,,,,,,,,
156,4.10,11.60,5.70,666.03,25.29,103.56,670.13,36.89,109.26,,,,,,,,,
157,93.90,43.50,50.50,536.11,18.44,87.41,630.01,61.94,137.91,,,,,,,,,
158,149.80,1.30,24.30,504.00,30.97,110.33,653.80,32.27,134.63,,,,,,,,,
159,11.70,36.90,45.20,523.04,16.14,107.70,534.74,53.04,152.90,,,,,,,,,
160,131.70,18.40,34.60,427.79,26.52,122.32,559.49,44.92,156.92,,,,,,,,,
161,172.50,18.10,30.70,447.60,22.46,125.54,620.10,40.56,156.24,,,,,,,,,
162,85.70,35.80,49.30,496.08,20.28,124.99,581.78,56.08,174.29,,,,,,,,,
163,188.40,18.10,25.60,465.42,28.04,139.43,653.82,46.14,165.03,,,,,,,,,
164,163.50,36.80,7.40,523.06,23.07,132.03,686.56,59.87,139.43,,,,,,,,,
165,117.20,14.70,5.40,549.25,29.93,111.54,666.45,44.63,116.94,,,,,,,,,
166,234.50,3.40,84.80,533.16,22.32,93.55,767.66,25.72,178.35,,,,,,,,,
167,17.90,37.60,21.60,614.13,12.86,142.68,632.03,50.46,164.28,,,,,,,,,
168,206.80,5.20,19.40,505.62,25.23,131.43,712.42,30.43,150.83,,,,,,,,,
169,215.40,23.60,57.60,569.94,15.21,120.66,785.34,38.81,178.26,,,,,,,,,
170,284.30,10.60,6.40,628.27,19.41,142.61,912.57,30.01,149.01,,,,,,,,,
171,50.00,11.60,18.40,730.06,15.00,119.21,780.06,26.60,137.61,,,,,,,,,
172,164.50,20.90,47.40,624.04,13.30,110.09,788.54,34.20,157.49,,,,,,,,,
173,19.60,20.10,17.00,630.84,17.10,125.99,650.44,37.20,142.99,,,,,,,,,
174,168.40,7.10,12.80,520.35,18.60,114.39,688.75,25.70,127.19,,,,,,,,,
175,222.40,3.40,13.10,551.00,12.85,101.75,773.40,16.25,114.85,,,,,,,,,
176,276.90,48.90,41.80,618.72,8.13,91.88,895.62,57.03,133.68,,,,,,,,,
177,248.40,30.20,20.30,716.50,28.51,106.95,964.90,58.71,127.25,,,,,,,,,
178,170.20,7.80,35.20,771.92,29.36,101.80,942.12,37.16,137.00,,,,,,,,,
179,276.70,2.30,23.70,753.69,18.58,109.60,1030.39,20.88,133.30,,,,,,,,,
180,165.60,10.00,17.60,824.31,10.44,106.64,989.91,20.44,124.24,,,,,,,,,
181,156.60,2.60,8.30,791.93,10.22,99.39,948.53,12.82,107.69,,,,,,,,,
182,218.50,5.40,27.40,758.83,6.41,86.15,977.33,11.81,113.55,,,,,,,,,
183,56.20,5.70,29.70,781.86,5.90,90.84,838.06,11.60,120.54,,,,,,,,,
184,287.60,43.00,71.80,670.45,5.80,96.43,958.05,48.80,168.23,,,,,,,,,
185,253.80,21.30,30.00,766.44,24.40,134.59,1020.24,45.70,164.59,,,,,,,,,
186,205.00,45.10,19.60,816.19,22.85,131.67,1021.19,67.95,151.27,,,,,,,,,
187,139.50,2.10,26.60,816.95,33.98,121.02,956.45,36.08,147.62,,,,,,,,,
188,191.10,28.70,18.20,765.16,18.04,118.09,956.26,46.74,136.29,,,,,,,,,
189,286.00,13.90,3.70,765.01,23.37,109.03,1051.01,37.27,112.73,,,,,,,,,
190,18.70,12.10,23.40,840.81,18.63,90.19,859.51,30.73,113.59,,,,,,,,,
191,39.50,41.10,5.80,687.61,15.37,90.87,727.11,56.47,96.67,,,,,,,,,
192,75.50,10.80,6.00,581.68,28.23,77.34,657.18,39.03,83.34,,,,,,,,,
193,17.20,4.10,31.60,525.75,19.52,66.67,542.95,23.62,98.27,,,,,,,,,
194,166.80,42.00,3.60,434.36,11.81,78.61,601.16,53.81,82.21,,,,,,,,,
195,149.70,35.60,6.00,480.93,26.90,65.77,630.63,62.50,71.77,,,,,,,,,
196,38.20,3.70,13.80,504.50,31.25,57.42,542.70,34.95,71.22,,,,,,,,,
197,94.20,4.90,8.10,434.16,17.48,56.97,528.36,22.38,65.07,,,,,,,,,
198,177.00,9.30,6.40,422.69,11.19,52.06,599.69,20.49,58.46,,,,,,,,,
199,283.60,42.00,66.20,479.75,10.24,46.77,763.35,52.24,112.97,,,,,,,,,
200,232.10,8.60,8.70,610.68,26.12,90.37,842.78,34.72,99.07,,,,,,,,,
